id,label
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,0
